Post,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
-1,,,wwwwwwwwwwwwwwwwwwwwwwww,wwwwwwwwwwwwwwwwwwwwwwww,wwwwwwwwwwwwwwwwwwwwwwww
633,support,t-scope,c-authorship,s-legal,
6919,discussion,t-scope,c-authorship,c-purpose,s-legal
6994,discussion,t-scope,c-authorship,c-purpose,s-legal
9377,discussion,t-scope,c-authorship,s-legal,
5875,discussion,t-scope,c-authorship,s-maintainer,
7233,discussion,t-scope,c-authorship,s-maintainer,
8459,discussion,t-scope,c-authorship,s-maintainer,
1294,discussion,t-scope,c-authorship,,
1450,discussion,t-scope,c-authorship,,
4985,discussion,t-scope,c-authorship,,
5612,support,t-scope,c-authorship,,
8445,discussion,t-scope,c-authorship,,
8642,support,t-scope,c-authorship,,
9032,support,t-scope,c-authorship,,
9238,support,t-scope,c-authorship,,
9268,support,t-scope,c-authorship,s-maintainer,
240,support,t-scope,c-best-practice,,
383,discussion,t-scope,c-best-practice,,
1299,support,t-scope,c-best-practice,,
699,support,t-policy,c-broken,s-known-bug,
2265,discussion,t-scope,c-broken,s-known-bug,
2337,discussion,t-scope,c-broken,s-known-bug,
2417,support,t-scope,c-broken,s-known-bug,
3841,support,t-scope,c-broken,s-known-bug,
5489,support,t-scope,c-broken,s-known-bug,
6733,support,t-scope,c-broken,s-troubleshooting,
6790,discussion,t-scope,c-broken,s-known-bug,
8394,support,t-policy,c-broken,s-known-bug,x-moderation
8446,discussion,t-scope,c-broken,s-known-bug,
8449,support,t-scope,c-broken,s-known-bug,
8809,discussion,t-scope,c-broken,s-known-bug,
9046,discussion,t-scope,c-broken,s-known-bug,
9071,support,t-scope,c-broken,s-known-bug,
9201,discussion,t-scope,c-broken,s-known-bug,
9448,support,t-scope,c-broken,s-known-bug,
44,discussion,t-scope,c-broken,s-troubleshooting,
52,discussion,t-scope,c-broken,s-troubleshooting,
5104,support,t-scope,c-broken,s-troubleshooting,
6784,support,t-scope,c-broken,s-troubleshooting,
7091,support,t-scope,c-broken,s-troubleshooting,
8463,support,t-scope,c-broken,s-troubleshooting,
8956,support,t-scope,c-broken,s-troubleshooting,
7335,support,t-scope,c-broken,s-ignore,
9044,discussion,t-scope,c-broken,s-ignore,
1907,support,t-scope,c-broken,s-unknown-bug,
